Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,S,S_1,S_2,S_3,S_4,S_5,S_6
56,213.53676,0.0167858,0.105066836,0.5761854,0.21024737,0.7013552,0.5030254,0.5861033,0.6345577,1670,209,89,484,284,92,512
57,207.72842,0.0167858,0.104756,0.57356703,0.2858458,0.6965696,0.50346386,0.56776965,0.6313494,1670,209,89,484,284,92,512
58,201.18109,0.017407537,0.105066836,0.5710105,0.21081817,0.6917123,0.5039056,0.5849146,0.6281686,1670,209,89,484,284,92,512
59,195.59807,0.017407537,0.104756,0.5685152,0.286278,0.68681055,0.5043512,0.566677,0.62502867,1670,209,89,484,284,92,512
60,189.28313,0.017407537,0.104756,0.5660806,0.21185827,0.6819195,0.50480425,0.58381,0.621904,1670,209,89,484,284,92,512
61,183.86533,0.017407537,0.104756,0.56370646,0.28724954,0.6769944,0.50525117,0.5656779,0.6188477,1670,209,89,484,284,92,512
62,177.55295,0.018029213,0.104756,0.5613921,0.21393244,0.6720446,0.5057044,0.5826151,0.6158081,1670,209,89,484,284,92,512
63,171.90994,0.018340051,0.104756,0.5591371,0.28972408,0.6670869,0.5061542,0.56457555,0.6128202,1670,209,89,484,284,92,512
64,165.06384,0.018340051,0.104756,0.5569406,0.21882917,0.66214824,0.5065978,0.5813048,0.6099057,1670,209,89,484,284,92,512
65,158.21147,0.018340051,0.104756,0.55480254,0.2974023,0.65728045,0.5070302,0.56324,0.60703456,1670,209,89,484,284,92,512
66,148.90112,0.018340051,0.10444516,0.55272204,0.23451327,0.65252274,0.50744766,0.57926226,0.60420144,1670,209,89,484,284,92,512
67,137.42944,0.018340051,0.10444516,0.5506987,0.32823336,0.6478091,0.50784916,0.560171,0.6014447,1670,209,89,484,284,92,512
68,123.78005,0.018340051,0.10444516,0.5487339,0.28910983,0.6431633,0.508251,0.5742007,0.5986864,1670,209,89,484,284,92,512
69,111.769035,0.01865089,0.10413426,0.5468279,0.4032683,0.63858527,0.5086583,0.55357146,0.5959687,1670,209,89,484,284,92,512
70,101.416214,0.01865089,0.10413426,0.5449771,0.3786565,0.6340951,0.5090474,0.5662146,0.5933109,1670,209,89,484,284,92,512
71,95.808495,0.018340051,0.10382342,0.54318106,0.47829074,0.62969095,0.5094232,0.54683656,0.59072703,1670,209,89,484,284,92,512
72,90.85019,0.01865089,0.10382342,0.54143924,0.42984137,0.6253933,0.5098078,0.5612193,0.58814436,1670,209,89,484,284,92,512
73,87.669655,0.01865089,0.10382342,0.5397508,0.5107488,0.6212018,0.510164,0.54352736,0.5856539,1670,209,89,484,284,92,512
74,84.056915,0.018961787,0.10382342,0.53811526,0.45190296,0.61713785,0.5105151,0.5586008,0.5831697,1670,209,89,484,284,92,512
75,81.55509,0.01865089,0.10413426,0.53653187,0.5256385,0.6132163,0.510823,0.5416691,0.58079773,1670,209,89,484,284,92,512
76,78.50034,0.018961787,0.10444516,0.5349997,0.4633517,0.60941267,0.5111257,0.5568719,0.5784433,1670,209,89,484,284,92,512
77,76.35025,0.018961787,0.10382342,0.53351873,0.53364813,0.6057597,0.51140255,0.54038405,0.57619053,1670,209,89,484,284,92,512
78,73.676414,0.018961787,0.10382342,0.53208816,0.47005984,0.60223645,0.5116527,0.55552584,0.57397735,1670,209,89,484,284,92,512
79,71.81681,0.019272625,0.10382342,0.5307063,0.5383578,0.5988817,0.511875,0.5393856,0.5718497,1670,209,89,484,284,92,512
80,69.45482,0.019272625,0.10444516,0.5293721,0.47452125,0.5956374,0.51206595,0.55437994,0.569821,1670,209,89,484,284,92,512
81,67.81293,0.019272625,0.10413426,0.5280849,0.5409748,0.5925108,0.5122493,0.5385624,0.567803,1670,209,89,484,284,92,512
82,65.6675,0.019583464,0.10444516,0.5268437,0.47749364,0.58951986,0.51241297,0.5533573,0.56584823,1670,209,89,484,284,92,512
