Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,PhatBar_7,PhatBar_8,PhatBar_9,PhatBar_10,S,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10
64,50.06532,0.11320752,0.30956846,0.54624015,0.564058,0.41698298,0.44810784,0.4826899,0.5708666,0.51789546,9.597327e-05,0.39050817,0.55238783,749,140,219,18,16,24,132,88,7,28,77
65,49.389225,0.11320752,0.30956846,0.5451482,0.5629019,0.41933554,0.4492556,0.4846511,0.5703381,0.51767695,9.8267315e-05,0.39206073,0.55170447,749,140,219,18,16,24,132,88,7,28,77
66,48.82622,0.11320752,0.30956846,0.5441636,0.5614464,0.4216204,0.44955838,0.48550966,0.5708476,0.5176706,0.0001006678,0.39361954,0.5509983,749,140,219,18,16,24,132,88,7,28,77
67,48.228565,0.11320752,0.30956846,0.5430828,0.55968946,0.42396587,0.4505464,0.48734882,0.57116514,0.51758647,0.00010316435,0.39515218,0.55031073,749,140,219,18,16,24,132,88,7,28,77
68,47.66874,0.11320752,0.30956846,0.5422112,0.55880296,0.42629996,0.45076135,0.4882157,0.5706436,0.517616,0.00010576383,0.3966175,0.54968566,749,140,219,18,16,24,132,88,7,28,77
69,47.138603,0.11320752,0.30956846,0.5412454,0.55701846,0.42794368,0.4517672,0.4897965,0.5711169,0.5174898,0.00010844141,0.3980966,0.54903364,749,140,219,18,16,24,132,88,7,28,77
70,46.63401,0.11320752,0.31050658,0.5404228,0.5555037,0.43002164,0.45194092,0.49055958,0.5716534,0.51738596,0.00011123837,0.39953786,0.54845214,749,140,219,18,16,24,132,88,7,28,77
71,46.09831,0.11320752,0.31050658,0.53942895,0.55438787,0.43204525,0.45359907,0.4921535,0.5709626,0.5172045,0.00011418015,0.40092102,0.54790246,749,140,219,18,16,24,132,88,7,28,77
72,45.62012,0.11320752,0.30956846,0.53867656,0.55214494,0.4336962,0.45683873,0.4929954,0.57141215,0.5173137,0.000117256524,0.40232703,0.5472964,749,140,219,18,16,24,132,88,7,28,77
73,45.14445,0.11320752,0.30956846,0.5378063,0.54990077,0.4353888,0.4591198,0.49456134,0.57198155,0.5171602,0.00012043839,0.40369424,0.54674923,749,140,219,18,16,24,132,88,7,28,77
74,44.67982,0.11320752,0.30956846,0.5370057,0.5491393,0.43722045,0.4599375,0.4953116,0.57109165,0.5170956,0.00012377273,0.40501007,0.54627144,749,140,219,18,16,24,132,88,7,28,77
75,44.273586,0.11320752,0.3076923,0.5361294,0.5470755,0.43872482,0.4606222,0.49681067,0.5718783,0.51703954,0.00012722555,0.4063156,0.54574925,749,140,219,18,16,24,132,88,7,28,77
76,43.871468,0.11320752,0.3076923,0.5355303,0.54559803,0.44043472,0.46096927,0.4974254,0.5720416,0.5170389,0.0001308692,0.40758678,0.54523605,749,140,219,18,16,24,132,88,7,28,77
