Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5,TestingError,TrainingError
87,0.198272899,0.694036484,0.563170969,0.803341568,0.66730845,0.621114254,482,91,99,96,97,99,0.241999984,0.015999973
88,0.197752103,0.694022179,0.56321919,0.803237498,0.667296171,0.621115029,482,91,99,96,97,99,0.241999984,0.015999973
89,0.197405383,0.694006979,0.563257098,0.80318594,0.667283654,0.621115506,482,91,99,96,97,99,0.244000018,0.018000007
90,0.196886003,0.693991959,0.563299537,0.80308342,0.667270839,0.621116459,482,91,99,96,97,99,0.245999992,0.018000007
91,0.196538553,0.693976581,0.563331664,0.803034961,0.667257667,0.621116996,482,91,99,96,97,99,0.244000018,0.018000007
92,0.195982426,0.693961263,0.563372076,0.802927196,0.667244196,0.621118307,482,91,99,96,97,99,0.244000018,0.018000007
93,0.195655048,0.693945229,0.563396275,0.802889407,0.667230248,0.621119142,482,91,99,96,97,99,0.244000018,0.018000007
94,0.195066676,0.693929195,0.563435614,0.80277282,0.667216063,0.621120811,482,91,99,96,97,99,0.244000018,0.018000007
95,0.194730803,0.693912804,0.563461065,0.802737057,0.6672014,0.621121883,482,91,99,96,97,99,0.241999984,0.019999981
96,0.194077864,0.693896234,0.563505173,0.802603304,0.66718632,0.621124029,482,91,99,96,97,99,0.244000018,0.019999981
97,0.193732291,0.693879247,0.563531101,0.802570283,0.667170942,0.621125221,482,91,99,96,97,99,0.24000001,0.019999981
98,0.193025053,0.693861783,0.56357801,0.802420795,0.667156577,0.621128023,482,91,99,96,97,99,0.241999984,0.019999981
99,0.192669183,0.693843901,0.563604951,0.802385509,0.667141914,0.621129394,482,91,99,96,97,99,0.24000001,0.019999981
100,0.192007393,0.693825245,0.563654065,0.802239597,0.667126596,0.621132255,482,91,99,96,97,99,0.24000001,0.022000015
101,0.191617027,0.693806648,0.563684225,0.802194059,0.667111993,0.621134102,482,91,99,96,97,99,0.24000001,0.022000015
102,0.190967768,0.693787217,0.56373477,0.802054405,0.667099714,0.621137202,482,91,99,96,97,99,0.241999984,0.023999989
103,0.190500021,0.693767607,0.563772917,0.801976383,0.667088151,0.621139586,482,91,99,96,97,99,0.24000001,0.023999989
104,0.18991518,0.693746269,0.563823164,0.801858127,0.667074382,0.621141613,482,91,99,96,97,99,0.24000001,0.023999989
