SVM_C(2**),SVM_gamma(2**),Etr,Eval
-6.0,-12.0,0.3,0.3
-6.0,-11.0,0.3,0.3
-6.0,-10.0,0.3,0.3
-6.0,-9.0,0.3,0.3
-6.0,-8.0,0.3,0.3
-6.0,-7.0,0.3,0.3
-6.0,-6.0,0.3,0.3
-6.0,-5.0,0.3,0.3
-6.0,-4.0,0.3,0.3
-6.0,-3.0,0.3,0.3
-6.0,-2.0,0.3,0.3
-6.0,-1.0,0.3,0.3
-6.0,0.0,0.3,0.3
-6.0,1.0,0.3,0.3
-6.0,2.0,0.3,0.3
-6.0,3.0,0.3,0.3
-6.0,4.0,0.3,0.3
-6.0,5.0,0.3,0.3
-6.0,6.0,0.3,0.3
-6.0,7.0,0.3,0.3
-6.0,8.0,0.3,0.3
-6.0,9.0,0.3,0.3
-6.0,10.0,0.3,0.3
-6.0,11.0,0.3,0.3
-6.0,12.0,0.3,0.3
-6.0,13.0,0.3,0.3
-6.0,14.0,0.3,0.3
-6.0,15.0,0.3,0.3
-5.0,-15.0,0.3,0.3
-5.0,-14.0,0.3,0.3
-5.0,-13.0,0.3,0.3
-5.0,-12.0,0.3,0.3
-5.0,-11.0,0.3,0.3
-5.0,-10.0,0.3,0.3
-5.0,-9.0,0.3,0.3
-5.0,-8.0,0.3,0.3
-5.0,-7.0,0.3,0.3
-5.0,-6.0,0.3,0.3
-5.0,-5.0,0.3,0.3
-5.0,-4.0,0.3,0.3
-5.0,-3.0,0.3,0.3
-5.0,-2.0,0.3,0.3
-5.0,-1.0,0.3,0.3
-5.0,0.0,0.3,0.3
-5.0,1.0,0.3,0.3
-5.0,2.0,0.3,0.3
-5.0,3.0,0.3,0.3
-5.0,4.0,0.3,0.3
-5.0,5.0,0.3,0.3
-5.0,6.0,0.3,0.3
-5.0,7.0,0.3,0.3
-5.0,8.0,0.3,0.3
-5.0,9.0,0.3,0.3
-5.0,10.0,0.3,0.3
-5.0,11.0,0.3,0.3
-5.0,12.0,0.3,0.3
-5.0,13.0,0.3,0.3
-5.0,14.0,0.3,0.3
-5.0,15.0,0.3,0.3
-4.0,-15.0,0.3,0.3
-4.0,-14.0,0.3,0.3
-4.0,-13.0,0.3,0.3
-4.0,-12.0,0.3,0.3
-4.0,-11.0,0.3,0.3
-4.0,-10.0,0.3,0.3
-4.0,-9.0,0.3,0.3
-4.0,-8.0,0.3,0.3
-4.0,-7.0,0.3,0.3
-4.0,-6.0,0.3,0.3
-4.0,-5.0,0.3,0.3
-4.0,-4.0,0.3,0.3
-4.0,-3.0,0.3,0.3
-4.0,-2.0,0.3,0.3
-4.0,-1.0,0.3,0.3
-4.0,0.0,0.3,0.3
-4.0,1.0,0.3,0.3
-4.0,2.0,0.3,0.3
-4.0,3.0,0.3,0.3
-4.0,4.0,0.3,0.3
-4.0,5.0,0.3,0.3
-4.0,6.0,0.3,0.3
-4.0,7.0,0.3,0.3
-4.0,8.0,0.3,0.3
-4.0,9.0,0.3,0.3
-4.0,10.0,0.3,0.3
-4.0,11.0,0.3,0.3
-4.0,12.0,0.3,0.3
-4.0,13.0,0.3,0.3
-4.0,14.0,0.3,0.3
-4.0,15.0,0.3,0.3
-3.0,-15.0,0.3,0.3
-3.0,-14.0,0.3,0.3
-3.0,-13.0,0.3,0.3
-3.0,-12.0,0.3,0.3
-3.0,-11.0,0.3,0.3
-3.0,-10.0,0.3,0.3
-3.0,-9.0,0.3,0.3
-3.0,-8.0,0.3,0.3
-3.0,-7.0,0.3,0.3
-3.0,-6.0,0.3,0.3
-3.0,-5.0,0.29988888888888887,0.3
-3.0,-4.0,0.3,0.3
-3.0,-3.0,0.3,0.3
-3.0,-2.0,0.3,0.3
-3.0,-1.0,0.3,0.3
-3.0,0.0,0.3,0.3
-3.0,1.0,0.3,0.3
-3.0,2.0,0.3,0.3
-3.0,3.0,0.3,0.3
-3.0,4.0,0.3,0.3
-3.0,5.0,0.3,0.3
-3.0,6.0,0.3,0.3
-3.0,7.0,0.3,0.3
-3.0,8.0,0.3,0.3
-3.0,9.0,0.3,0.3
-3.0,10.0,0.3,0.3
-3.0,11.0,0.3,0.3
-3.0,12.0,0.3,0.3
-3.0,13.0,0.3,0.3
-3.0,14.0,0.3,0.3
-3.0,15.0,0.3,0.3
-2.0,-15.0,0.3,0.3
-2.0,-14.0,0.3,0.3
-2.0,-13.0,0.3,0.3
-2.0,-12.0,0.3,0.3
-2.0,-11.0,0.3,0.3
-2.0,-10.0,0.3,0.3
-2.0,-9.0,0.3,0.3
-2.0,-8.0,0.3,0.3
-2.0,-7.0,0.29677777777777775,0.29800000000000004
-2.0,-6.0,0.27177777777777773,0.28800000000000003
-2.0,-5.0,0.2591111111111111,0.28200000000000003
-2.0,-4.0,0.2737777777777778,0.292
-2.0,-3.0,0.29800000000000004,0.3
-2.0,-2.0,0.3,0.3
-2.0,-1.0,0.3,0.3
-2.0,0.0,0.3,0.3
-2.0,1.0,0.3,0.3
-2.0,2.0,0.3,0.3
-2.0,3.0,0.3,0.3
-2.0,4.0,0.3,0.3
-2.0,5.0,0.3,0.3
-2.0,6.0,0.3,0.3
-2.0,7.0,0.3,0.3
-2.0,8.0,0.3,0.3
-2.0,9.0,0.3,0.3
-2.0,10.0,0.3,0.3
-2.0,11.0,0.3,0.3
-2.0,12.0,0.3,0.3
-2.0,13.0,0.3,0.3
-2.0,14.0,0.3,0.3
-2.0,15.0,0.3,0.3
-1.0,-15.0,0.3,0.3
-1.0,-14.0,0.3,0.3
-1.0,-13.0,0.3,0.3
-1.0,-12.0,0.3,0.3
-1.0,-11.0,0.3,0.3
-1.0,-10.0,0.3,0.3
-1.0,-9.0,0.3,0.3
-1.0,-8.0,0.2916666666666667,0.297
-1.0,-7.0,0.24911111111111114,0.27199999999999996
-1.0,-6.0,0.22055555555555553,0.25600000000000006
-1.0,-5.0,0.19622222222222221,0.254
-1.0,-4.0,0.17500000000000002,0.258
-1.0,-3.0,0.20588888888888893,0.2840000000000001
-1.0,-2.0,0.27111111111111114,0.301
-1.0,-1.0,0.29322222222222216,0.3
-1.0,0.0,0.2982222222222222,0.3
-1.0,1.0,0.2982222222222222,0.3
-1.0,2.0,0.2982222222222222,0.3
-1.0,3.0,0.3,0.3
-1.0,4.0,0.3,0.3
-1.0,5.0,0.3,0.3
-1.0,6.0,0.3,0.3
-1.0,7.0,0.3,0.3
-1.0,8.0,0.3,0.3
-1.0,9.0,0.3,0.3
-1.0,10.0,0.3,0.3
-1.0,11.0,0.3,0.3
-1.0,12.0,0.3,0.3
-1.0,13.0,0.3,0.3
-1.0,14.0,0.3,0.3
-1.0,15.0,0.3,0.3
0.0,-15.0,0.3,0.3
0.0,-14.0,0.3,0.3
0.0,-13.0,0.3,0.3
0.0,-12.0,0.3,0.3
0.0,-11.0,0.3,0.3
0.0,-10.0,0.3,0.3
0.0,-9.0,0.2876666666666666,0.29400000000000004
0.0,-8.0,0.23966666666666664,0.26399999999999996
0.0,-7.0,0.2167777777777778,0.242
0.0,-6.0,0.18844444444444444,0.24100000000000002
0.0,-5.0,0.15111111111111108,0.24500000000000002
0.0,-4.0,0.10966666666666666,0.24500000000000002
0.0,-3.0,0.05677777777777778,0.258
0.0,-2.0,0.01844444444444443,0.289
0.0,-1.0,0.00344444444444445,0.29399999999999993
0.0,0.0,0.0007777777777777439,0.29799999999999993
0.0,1.0,0.0,0.29799999999999993
0.0,2.0,0.0,0.29799999999999993
0.0,3.0,0.0,0.3
0.0,4.0,0.0,0.3
0.0,5.0,0.0,0.3
0.0,6.0,0.0,0.3
0.0,7.0,0.0,0.3
0.0,8.0,0.0,0.3
0.0,9.0,0.0,0.3
0.0,10.0,0.0,0.3
0.0,11.0,0.0,0.3
0.0,12.0,0.0,0.3
0.0,13.0,0.0,0.3
0.0,14.0,0.0,0.3
0.0,15.0,0.0,0.3
1.0,-15.0,0.3,0.3
1.0,-14.0,0.3,0.3
1.0,-13.0,0.3,0.3
1.0,-12.0,0.3,0.3
1.0,-11.0,0.3,0.3
1.0,-10.0,0.28433333333333327,0.293
1.0,-9.0,0.23888888888888885,0.259
1.0,-8.0,0.21733333333333332,0.23700000000000002
1.0,-7.0,0.19633333333333336,0.23199999999999998
1.0,-6.0,0.16299999999999998,0.23199999999999998
1.0,-5.0,0.12433333333333337,0.23700000000000002
1.0,-4.0,0.07066666666666666,0.242
1.0,-3.0,0.019777777777777793,0.262
1.0,-2.0,0.00444444444444444,0.28500000000000003
1.0,-1.0,0.0,0.30000000000000004
1.0,0.0,0.0,0.29799999999999993
1.0,1.0,0.0,0.29799999999999993
1.0,2.0,0.0,0.29799999999999993
1.0,3.0,0.0,0.29799999999999993
1.0,4.0,0.0,0.3
1.0,5.0,0.0,0.3
1.0,6.0,0.0,0.3
1.0,7.0,0.0,0.3
1.0,8.0,0.0,0.3
1.0,9.0,0.0,0.3
1.0,10.0,0.0,0.3
1.0,11.0,0.0,0.3
1.0,12.0,0.0,0.3
1.0,13.0,0.0,0.3
1.0,14.0,0.0,0.3
1.0,15.0,0.0,0.3
2.0,-15.0,0.3,0.3
2.0,-14.0,0.3,0.3
2.0,-13.0,0.3,0.3
2.0,-12.0,0.3,0.3
2.0,-11.0,0.28322222222222226,0.29100000000000004
2.0,-10.0,0.2358888888888889,0.254
2.0,-9.0,0.21966666666666662,0.23899999999999996
2.0,-8.0,0.2033333333333333,0.23700000000000002
2.0,-7.0,0.177,0.23099999999999996
2.0,-6.0,0.14055555555555554,0.229
2.0,-5.0,0.09555555555555553,0.248
2.0,-4.0,0.03777777777777778,0.26000000000000006
2.0,-3.0,0.007666666666666666,0.273
2.0,-2.0,0.0012222222222221912,0.28700000000000003
2.0,-1.0,0.0,0.30000000000000004
2.0,0.0,0.0,0.29799999999999993
2.0,1.0,0.0,0.29799999999999993
2.0,2.0,0.0,0.29799999999999993
2.0,3.0,0.0,0.29799999999999993
2.0,4.0,0.0,0.3
2.0,5.0,0.0,0.3
2.0,6.0,0.0,0.3
2.0,7.0,0.0,0.3
2.0,8.0,0.0,0.3
2.0,9.0,0.0,0.3
2.0,10.0,0.0,0.3
2.0,11.0,0.0,0.3
2.0,12.0,0.0,0.3
2.0,13.0,0.0,0.3
2.0,14.0,0.0,0.3
2.0,15.0,0.0,0.3
3.0,-15.0,0.3,0.3
3.0,-14.0,0.3,0.3
3.0,-13.0,0.3,0.3
3.0,-12.0,0.28255555555555556,0.29000000000000004
3.0,-11.0,0.23666666666666666,0.255
3.0,-10.0,0.22055555555555556,0.24400000000000005
3.0,-9.0,0.20922222222222225,0.238
3.0,-8.0,0.19088888888888889,0.23700000000000002
3.0,-7.0,0.15755555555555556,0.22499999999999995
3.0,-6.0,0.11999999999999997,0.233
3.0,-5.0,0.06888888888888889,0.259
3.0,-4.0,0.016222222222222228,0.277
3.0,-3.0,0.003555555555555556,0.269
3.0,-2.0,0.0,0.29000000000000004
3.0,-1.0,0.0,0.30000000000000004
3.0,0.0,0.0,0.29799999999999993
3.0,1.0,0.0,0.29799999999999993
3.0,2.0,0.0,0.29799999999999993
3.0,3.0,0.0,0.29799999999999993
3.0,4.0,0.0,0.3
3.0,5.0,0.0,0.3
3.0,6.0,0.0,0.3
3.0,7.0,0.0,0.3
3.0,8.0,0.0,0.3
3.0,9.0,0.0,0.3
3.0,10.0,0.0,0.3
3.0,11.0,0.0,0.3
3.0,12.0,0.0,0.3
3.0,13.0,0.0,0.3
3.0,14.0,0.0,0.3
3.0,15.0,0.0,0.3
4.0,-15.0,0.3,0.3
4.0,-14.0,0.3,0.3
4.0,-13.0,0.2821111111111111,0.29000000000000004
4.0,-12.0,0.2371111111111111,0.25599999999999995
4.0,-11.0,0.22155555555555556,0.24299999999999997
4.0,-10.0,0.21377777777777776,0.23900000000000002
4.0,-9.0,0.20133333333333336,0.23899999999999996
4.0,-8.0,0.17311111111111113,0.22599999999999998
4.0,-7.0,0.14033333333333334,0.23399999999999999
4.0,-6.0,0.09722222222222221,0.24399999999999994
4.0,-5.0,0.04177777777777779,0.273
4.0,-4.0,0.00822222222222222,0.284
4.0,-3.0,0.0008888888888888613,0.277
4.0,-2.0,0.0,0.29000000000000004
4.0,-1.0,0.0,0.30000000000000004
4.0,0.0,0.0,0.29799999999999993
4.0,1.0,0.0,0.29799999999999993
4.0,2.0,0.0,0.29799999999999993
4.0,3.0,0.0,0.29799999999999993
4.0,4.0,0.0,0.3
4.0,5.0,0.0,0.3
4.0,6.0,0.0,0.3
4.0,7.0,0.0,0.3
4.0,8.0,0.0,0.3
4.0,9.0,0.0,0.3
4.0,10.0,0.0,0.3
4.0,11.0,0.0,0.3
4.0,12.0,0.0,0.3
4.0,13.0,0.0,0.3
4.0,14.0,0.0,0.3
4.0,15.0,0.0,0.3
5.0,-15.0,0.3,0.3
5.0,-14.0,0.28211111111111115,0.29000000000000004
5.0,-13.0,0.2367777777777778,0.255
5.0,-12.0,0.22188888888888889,0.242
5.0,-11.0,0.21655555555555556,0.238
5.0,-10.0,0.20766666666666667,0.24099999999999996
5.0,-9.0,0.18866666666666665,0.23700000000000002
5.0,-8.0,0.15666666666666668,0.225
5.0,-7.0,0.12266666666666666,0.23499999999999996
5.0,-6.0,0.07422222222222222,0.26399999999999996
5.0,-5.0,0.020666666666666677,0.287
5.0,-4.0,0.0033333333333333327,0.29300000000000004
5.0,-3.0,0.0,0.27799999999999997
5.0,-2.0,0.0,0.29000000000000004
5.0,-1.0,0.0,0.30000000000000004
5.0,0.0,0.0,0.29799999999999993
5.0,1.0,0.0,0.29799999999999993
5.0,2.0,0.0,0.29799999999999993
5.0,3.0,0.0,0.29799999999999993
5.0,4.0,0.0,0.3
5.0,5.0,0.0,0.3
5.0,6.0,0.0,0.3
5.0,7.0,0.0,0.3
5.0,8.0,0.0,0.3
5.0,9.0,0.0,0.3
5.0,10.0,0.0,0.3
5.0,11.0,0.0,0.3
5.0,12.0,0.0,0.3
5.0,13.0,0.0,0.3
5.0,14.0,0.0,0.3
5.0,15.0,0.0,0.3
6.0,-15.0,0.2823333333333333,0.29000000000000004
6.0,-14.0,0.23688888888888887,0.255
6.0,-13.0,0.22188888888888889,0.242
6.0,-12.0,0.21766666666666667,0.236
6.0,-11.0,0.20988888888888887,0.23700000000000002
6.0,-10.0,0.19955555555555557,0.242
6.0,-9.0,0.17055555555555557,0.23200000000000004
6.0,-8.0,0.13999999999999999,0.23400000000000004
6.0,-7.0,0.10288888888888889,0.24299999999999997
6.0,-6.0,0.05377777777777777,0.275
6.0,-5.0,0.009999999999999998,0.29800000000000004
6.0,-4.0,0.0014444444444444149,0.292
6.0,-3.0,0.0,0.27799999999999997
6.0,-2.0,0.0,0.29000000000000004
6.0,-1.0,0.0,0.30000000000000004
6.0,0.0,0.0,0.29799999999999993
6.0,1.0,0.0,0.29799999999999993
