SVM_C(2**),SVM_gamma(2**),Etr,Eval
-14.0,6.0,0.1241111111111111,0.26099999999999995
-14.0,7.0,0.08588888888888892,0.32999999999999996
-14.0,8.0,0.04177777777777779,0.40800000000000003
-14.0,9.0,0.02055555555555555,0.523
-14.0,10.0,0.006444444444444452,0.603
-14.0,11.0,0.0009999999999999564,0.659
-14.0,12.0,0.0009999999999999564,0.722
-14.0,13.0,0.0008888888888888502,0.776
-14.0,14.0,0.0007777777777777439,0.785
-14.0,15.0,0.0007777777777777439,0.796
-13.0,-15.0,0.19011111111111112,0.192
-13.0,-14.0,0.19,0.192
-13.0,-13.0,0.18988888888888886,0.192
-13.0,-12.0,0.18977777777777774,0.192
-13.0,-11.0,0.18955555555555553,0.192
-13.0,-10.0,0.18955555555555553,0.191
-13.0,-9.0,0.1891111111111111,0.19
-13.0,-8.0,0.18844444444444444,0.191
-13.0,-7.0,0.18677777777777776,0.18700000000000003
-13.0,-6.0,0.18355555555555558,0.183
-13.0,-5.0,0.17911111111111105,0.181
-13.0,-4.0,0.176,0.17300000000000004
-13.0,-3.0,0.1742222222222222,0.17100000000000004
-13.0,-2.0,0.17088888888888887,0.17
-13.0,-1.0,0.17033333333333336,0.168
-13.0,0.0,0.16766666666666666,0.16699999999999998
-13.0,1.0,0.16244444444444445,0.16499999999999998
-13.0,2.0,0.16088888888888891,0.168
-13.0,3.0,0.16100000000000003,0.18299999999999997
-13.0,4.0,0.15900000000000003,0.195
-13.0,5.0,0.1502222222222222,0.22199999999999998
-13.0,6.0,0.1241111111111111,0.26099999999999995
-13.0,7.0,0.08588888888888892,0.32999999999999996
-13.0,8.0,0.04177777777777779,0.40800000000000003
-13.0,9.0,0.02055555555555555,0.523
-13.0,10.0,0.006444444444444452,0.603
-13.0,11.0,0.0009999999999999564,0.659
-13.0,12.0,0.0009999999999999564,0.722
-13.0,13.0,0.0008888888888888502,0.776
-13.0,14.0,0.0007777777777777439,0.785
-13.0,15.0,0.0007777777777777439,0.796
-12.0,-15.0,0.19011111111111112,0.192
-12.0,-14.0,0.19,0.192
-12.0,-13.0,0.18988888888888886,0.192
-12.0,-12.0,0.18977777777777774,0.192
-12.0,-11.0,0.18955555555555553,0.192
-12.0,-10.0,0.18955555555555553,0.191
-12.0,-9.0,0.1891111111111111,0.19
-12.0,-8.0,0.18844444444444444,0.191
-12.0,-7.0,0.18677777777777776,0.18700000000000003
-12.0,-6.0,0.18355555555555558,0.183
-12.0,-5.0,0.17911111111111105,0.181
-12.0,-4.0,0.176,0.17300000000000004
-12.0,-3.0,0.1742222222222222,0.17100000000000004
-12.0,-2.0,0.17088888888888887,0.17
-12.0,-1.0,0.17033333333333336,0.168
-12.0,0.0,0.16766666666666666,0.16699999999999998
-12.0,1.0,0.16244444444444445,0.16499999999999998
-12.0,2.0,0.16088888888888891,0.168
-12.0,3.0,0.16100000000000003,0.18299999999999997
-12.0,4.0,0.15900000000000003,0.195
-12.0,5.0,0.1502222222222222,0.22199999999999998
-12.0,6.0,0.1241111111111111,0.26099999999999995
-12.0,7.0,0.08588888888888892,0.32999999999999996
-12.0,8.0,0.04177777777777779,0.40800000000000003
-12.0,9.0,0.02055555555555555,0.523
-12.0,10.0,0.006444444444444452,0.603
-12.0,11.0,0.0009999999999999564,0.659
-12.0,12.0,0.0009999999999999564,0.722
-12.0,13.0,0.0008888888888888502,0.776
-12.0,14.0,0.0007777777777777439,0.785
-12.0,15.0,0.0007777777777777439,0.796
-11.0,-15.0,0.19011111111111112,0.192
-11.0,-14.0,0.19,0.192
-11.0,-13.0,0.18988888888888886,0.192
-11.0,-12.0,0.18977777777777774,0.192
-11.0,-11.0,0.18955555555555553,0.192
-11.0,-10.0,0.18955555555555553,0.191
-11.0,-9.0,0.1891111111111111,0.19
-11.0,-8.0,0.18844444444444444,0.191
-11.0,-7.0,0.18677777777777776,0.18700000000000003
-11.0,-6.0,0.18355555555555558,0.183
-11.0,-5.0,0.17911111111111105,0.181
-11.0,-4.0,0.176,0.17300000000000004
-11.0,-3.0,0.1742222222222222,0.17100000000000004
-11.0,-2.0,0.17088888888888887,0.17
-11.0,-1.0,0.17033333333333336,0.168
-11.0,0.0,0.16766666666666666,0.16699999999999998
-11.0,1.0,0.16244444444444445,0.16499999999999998
-11.0,2.0,0.16088888888888891,0.168
-11.0,3.0,0.16100000000000003,0.18299999999999997
-11.0,4.0,0.15900000000000003,0.195
-11.0,5.0,0.1502222222222222,0.22199999999999998
-11.0,6.0,0.1241111111111111,0.26099999999999995
-11.0,7.0,0.08588888888888892,0.32999999999999996
-11.0,8.0,0.04177777777777779,0.40800000000000003
-11.0,9.0,0.02055555555555555,0.523
-11.0,10.0,0.006444444444444452,0.603
-11.0,11.0,0.0009999999999999564,0.659
-11.0,12.0,0.0009999999999999564,0.722
-11.0,13.0,0.0008888888888888502,0.776
-11.0,14.0,0.0007777777777777439,0.785
-11.0,15.0,0.0007777777777777439,0.796
-10.0,-15.0,0.19011111111111112,0.192
-10.0,-14.0,0.19,0.192
-10.0,-13.0,0.18988888888888886,0.192
-10.0,-12.0,0.18977777777777774,0.192
-10.0,-11.0,0.18955555555555553,0.192
-10.0,-10.0,0.18955555555555553,0.191
-10.0,-9.0,0.1891111111111111,0.19
-10.0,-8.0,0.18844444444444444,0.191
-10.0,-7.0,0.18677777777777776,0.18700000000000003
-10.0,-6.0,0.18355555555555558,0.183
-10.0,-5.0,0.17911111111111105,0.181
-10.0,-4.0,0.176,0.17300000000000004
-10.0,-3.0,0.1742222222222222,0.17100000000000004
