Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,S,S_1,S_2,S_3
100,94.56473,0.2302981,0.44507962,0.54253113,0.58022696,0.43907022,2419,805,1095,519
101,94.29572,0.22988975,0.44507962,0.542428,0.5801345,0.4391995,2419,805,1095,519
102,94.025314,0.2294814,0.44467127,0.5423226,0.5800428,0.43933064,2419,805,1095,519
103,93.75912,0.2290731,0.44467127,0.54222184,0.5799507,0.43945754,2419,805,1095,519
104,93.48835,0.2290731,0.44426298,0.54212224,0.5798552,0.4395953,2419,805,1095,519
105,93.22231,0.2290731,0.44467127,0.54202086,0.57976395,0.43972352,2419,805,1095,519
106,92.95787,0.2290731,0.44548798,0.54192066,0.5796728,0.439851,2419,805,1095,519
107,92.69327,0.2290731,0.44548798,0.54182196,0.5795807,0.43997988,2419,805,1095,519
108,92.42993,0.22866476,0.44589627,0.5417253,0.57948875,0.44010612,2419,805,1095,519
109,92.16035,0.22866476,0.44589627,0.54163146,0.5793908,0.44024333,2419,805,1095,519
110,91.89779,0.2282564,0.44467127,0.54153585,0.57929856,0.4403695,2419,805,1095,519
111,91.63502,0.22866476,0.44467127,0.54144126,0.57920665,0.44049639,2419,805,1095,519
112,91.37482,0.22866476,0.44507962,0.5413468,0.5791156,0.44062093,2419,805,1095,519
113,91.10842,0.22866476,0.44467127,0.5412537,0.57901984,0.44075608,2419,805,1095,519
114,90.8483,0.2282564,0.44467127,0.54116166,0.5789285,0.44087923,2419,805,1095,519
115,90.59058,0.2282564,0.44467127,0.5410717,0.5788378,0.44100133,2419,805,1095,519
116,90.33525,0.2282564,0.44467127,0.5409812,0.5787485,0.44112095,2419,805,1095,519
117,90.07408,0.2282564,0.44426298,0.54089373,0.578653,0.44125238,2419,805,1095,519
118,89.817986,0.22866476,0.44426298,0.54080755,0.5785619,0.44137156,2419,805,1095,519
119,89.56102,0.22866476,0.44385463,0.5407193,0.5784698,0.44149318,2419,805,1095,519
120,89.30566,0.22866476,0.44385463,0.54063195,0.57837886,0.4416136,2419,805,1095,519
121,89.046005,0.2282564,0.44344628,0.5405485,0.57828283,0.44174337,2419,805,1095,519
122,88.79297,0.2282564,0.44344628,0.5404615,0.5781936,0.44186097,2419,805,1095,519
123,88.53762,0.22784811,0.44344628,0.5403762,0.57810235,0.4419789,2419,805,1095,519
124,88.28335,0.2282564,0.44344628,0.5402918,0.5780104,0.4420993,2419,805,1095,519
125,88.026,0.2282564,0.44385463,0.54020965,0.57791543,0.44222704,2419,805,1095,519
126,87.77522,0.2282564,0.44385463,0.54012716,0.5778245,0.44234315,2419,805,1095,519
127,87.52381,0.2282564,0.44385463,0.54004526,0.5777334,0.44245964,2419,805,1095,519
128,87.273796,0.22784811,0.44385463,0.53996724,0.5776405,0.44257608,2419,805,1095,519
129,87.018005,0.22743976,0.44385463,0.5398853,0.5775452,0.44270444,2419,805,1095,519
130,86.76878,0.22743976,0.44385463,0.53980404,0.57745457,0.4428198,2419,805,1095,519
131,86.51956,0.22743976,0.44344628,0.5397285,0.57736146,0.44293436,2419,805,1095,519
132,86.26312,0.22743976,0.44344628,0.5396459,0.5772674,0.44306305,2419,805,1095,519
133,86.0145,0.22743976,0.44344628,0.53956604,0.577176,0.44317856,2419,805,1095,519
134,85.761284,0.2282564,0.44385463,0.5394852,0.577082,0.443304,2419,805,1095,519
135,85.51305,0.2282564,0.44344628,0.53941035,0.5769887,0.44341865,2419,805,1095,519
136,85.26234,0.2282564,0.44385463,0.5393289,0.57689774,0.4435359,2419,805,1095,519
137,85.0093,0.2282564,0.44467127,0.53925323,0.57680005,0.44366246,2419,805,1095,519
138,84.76357,0.2282564,0.44467127,0.5391751,0.5767103,0.4437751,2419,805,1095,519
139,84.51618,0.22866476,0.44507962,0.53909737,0.57661843,0.44389135,2419,805,1095,519
140,84.266,0.2290731,0.44507962,0.53902173,0.576522,0.4440162,2419,805,1095,519
141,84.020805,0.22866476,0.44548798,0.53894556,0.576431,0.44413024,2419,805,1095,519
142,83.776634,0.22866476,0.44548798,0.5388678,0.57633966,0.44424567,2419,805,1095,519
143,83.52715,0.22866476,0.44548798,0.53879386,0.5762431,0.44436997,2419,805,1095,519
144,83.28474,0.22866476,0.44507962,0.538719,0.576151,0.44448286,2419,805,1095,519
145,83.03634,0.2282564,0.44467127,0.53864586,0.5760547,0.44460788,2419,805,1095,519
146,82.79793,0.2282564,0.44467127,0.53857225,0.57596475,0.4447175,2419,805,1095,519
147,82.55747,0.2282564,0.44548798,0.5385006,0.57587254,0.4448287,2419,805,1095,519
148,82.31332,0.2282564,0.44548798,0.5384305,0.57577664,0.44495052,2419,805,1095,519
149,82.07507,0.2282564,0.44548798,0.53835887,0.5756849,0.44506112,2419,805,1095,519
150,81.83641,0.2282564,0.44548798,0.5382908,0.5755907,0.4451721,2419,805,1095,519
151,81.59211,0.2282564,0.44548798,0.5382202,0.575494,0.44529444,2419,805,1095,519
152,81.35476,0.22784811,0.44548798,0.53815097,0.5754014,0.44540527,2419,805,1095,519
153,81.11903,0.22703147,0.44548798,0.53808254,0.57530797,0.44551644,2419,805,1095,519
154,80.8759,0.22703147,0.44548798,0.5380137,0.5752106,0.44563833,2419,805,1095,519
155,80.64079,0.22703147,0.44507962,0.5379469,0.575117,0.44574827,2419,805,1095,519
156,80.40028,0.22743976,0.44548798,0.5378785,0.5750192,0.4458707,2419,805,1095,519
157,80.166306,0.22743976,0.44507962,0.53780925,0.5749267,0.44598058,2419,805,1095,519
158,79.93318,0.22743976,0.44507962,0.5377421,0.57483345,0.44609073,2419,805,1095,519
159,79.69488,0.22784811,0.44467127,0.5376755,0.57473594,0.44621027,2419,805,1095,519
160,79.46031,0.22784811,0.44467127,0.53760856,0.5746403,0.44632265,2419,805,1095,519
161,79.22205,0.22784811,0.44467127,0.53754294,0.5745413,0.4464441,2419,805,1095,519
162,78.9899,0.22784811,0.44467127,0.537477,0.5744463,0.4465552,2419,805,1095,519
163,78.757675,0.22784811,0.44548798,0.5374093,0.57435155,0.44666767,2419,805,1095,519
164,78.51902,0.22784811,0.44548798,0.5373417,0.5742514,0.44679445,2419,805,1095,519
165,78.284966,0.2282564,0.44507962,0.5372755,0.5741538,0.4469114,2419,805,1095,519
