Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5
113,112.70227,0.07999998,0.286,0.69918954,0.5883513,0.80707043,0.66793853,0.6450858,482,91,100,95,97,99
114,112.70211,0.07999998,0.286,0.6991892,0.5883514,0.80707026,0.6679385,0.6450858,482,91,100,95,97,99
115,112.70195,0.07999998,0.286,0.6991889,0.5883515,0.80707026,0.6679383,0.64508575,482,91,100,95,97,99
116,112.7018,0.07999998,0.286,0.69918853,0.5883515,0.80707026,0.6679383,0.6450858,482,91,100,95,97,99
117,112.701645,0.07999998,0.286,0.69918823,0.58835155,0.80707014,0.6679382,0.64508575,482,91,100,95,97,99
118,112.70146,0.07999998,0.286,0.6991879,0.5883516,0.80707,0.667938,0.64508575,482,91,100,95,97,99
119,112.70131,0.07999998,0.286,0.6991876,0.58835167,0.80706996,0.66793793,0.64508563,482,91,100,95,97,99
120,112.70113,0.07999998,0.286,0.6991872,0.5883517,0.8070698,0.66793776,0.64508563,482,91,100,95,97,99
121,112.70098,0.07999998,0.286,0.69918686,0.5883518,0.80706966,0.6679377,0.64508563,482,91,100,95,97,99
122,112.70081,0.07999998,0.286,0.69918656,0.58835185,0.80706954,0.6679376,0.64508563,482,91,100,95,97,99
123,112.70065,0.07999998,0.286,0.6991862,0.5883519,0.8070694,0.66793746,0.6450856,482,91,100,95,97,99
124,112.700485,0.07999998,0.286,0.6991859,0.58835196,0.8070692,0.6679373,0.6450856,482,91,100,95,97,99
125,112.70032,0.07999998,0.286,0.6991855,0.58835196,0.80706906,0.6679372,0.6450855,482,91,100,95,97,99
126,112.70015,0.07999998,0.286,0.69918525,0.58835196,0.80706894,0.66793704,0.6450855,482,91,100,95,97,99
127,112.699974,0.07999998,0.286,0.6991849,0.588352,0.8070688,0.6679369,0.6450854,482,91,100,95,97,99
128,112.6998,0.07999998,0.286,0.69918454,0.58835214,0.80706877,0.6679368,0.6450854,482,91,100,95,97,99
129,112.69965,0.07999998,0.286,0.6991842,0.5883522,0.80706865,0.6679367,0.6450854,482,91,100,95,97,99
130,112.69949,0.07999998,0.286,0.6991838,0.5883522,0.8070686,0.6679365,0.6450854,482,91,100,95,97,99
131,112.69933,0.07999998,0.286,0.6991835,0.58835226,0.8070684,0.66793644,0.6450854,482,91,100,95,97,99
132,112.699165,0.07999998,0.286,0.69918317,0.5883523,0.80706835,0.6679363,0.64508533,482,91,100,95,97,99
133,112.69899,0.07999998,0.286,0.6991828,0.5883524,0.8070683,0.6679362,0.64508533,482,91,100,95,97,99
134,112.69884,0.07999998,0.286,0.6991825,0.58835244,0.8070681,0.667936,0.64508533,482,91,100,95,97,99
